system,query_id,instrument,latency_seconds,source,top_k
openclip-vitl14,q_adufe_pt,adufe,0.155709,benchmark,100
openclip-vitl14,q_adufe_en,adufe,0.017236,benchmark,100
openclip-vitl14,q_adufe_es,adufe,0.016986,benchmark,100
openclip-vitl14,q_bombos_pt,bombos,0.016824,benchmark,100
openclip-vitl14,q_bombos_en,bombos,0.016811,benchmark,100
openclip-vitl14,q_bombos_es,bombos,0.016802,benchmark,100
openclip-vitl14,q_caixa_tamboril_pt,caixa-tamboril,0.016879,benchmark,100
openclip-vitl14,q_caixa_tamboril_en,caixa-tamboril,0.016789,benchmark,100
openclip-vitl14,q_caixa_tamboril_es,caixa-tamboril,0.016754,benchmark,100
openclip-vitl14,q_castanholas_pt,castanholas,0.016714,benchmark,100
openclip-vitl14,q_castanholas_en,castanholas,0.016772,benchmark,100
openclip-vitl14,q_castanholas_es,castanholas,0.016754,benchmark,100
openclip-vitl14,q_cavaquinho_pt,cavaquinho,0.016809,benchmark,100
openclip-vitl14,q_cavaquinho_en,cavaquinho,0.016787,benchmark,100
openclip-vitl14,q_cavaquinho_es,cavaquinho,0.016964,benchmark,100
openclip-vitl14,q_concertina_pt,concertina,0.016817,benchmark,100
openclip-vitl14,q_concertina_en,concertina,0.016778,benchmark,100
openclip-vitl14,q_concertina_es,concertina,0.016792,benchmark,100
openclip-vitl14,q_ferrinhos_triangulo_pt,ferrinhos-triangulo,0.016811,benchmark,100
openclip-vitl14,q_ferrinhos_triangulo_en,ferrinhos-triangulo,0.016825,benchmark,100
openclip-vitl14,q_ferrinhos_triangulo_es,ferrinhos-triangulo,0.016945,benchmark,100
openclip-vitl14,q_flauta_pt,flauta,0.016655,benchmark,100
openclip-vitl14,q_flauta_en,flauta,0.016634,benchmark,100
openclip-vitl14,q_flauta_es,flauta,0.016628,benchmark,100
openclip-vitl14,q_gaita_de_foles_pt,gaita-de-foles,0.016659,benchmark,100
openclip-vitl14,q_gaita_de_foles_en,gaita-de-foles,0.016744,benchmark,100
openclip-vitl14,q_gaita_de_foles_es,gaita-de-foles,0.016696,benchmark,100
openclip-vitl14,q_guitarra_portuguesa_pt,guitarra-portuguesa,0.016762,benchmark,100
openclip-vitl14,q_guitarra_portuguesa_en,guitarra-portuguesa,0.016767,benchmark,100
openclip-vitl14,q_guitarra_portuguesa_es,guitarra-portuguesa,0.016733,benchmark,100
openclip-vitl14,q_matracas_pt,matracas,0.016732,benchmark,100
openclip-vitl14,q_matracas_en,matracas,0.016889,benchmark,100
openclip-vitl14,q_matracas_es,matracas,0.016694,benchmark,100
openclip-vitl14,q_palheta_pt,palheta,0.016819,benchmark,100
openclip-vitl14,q_palheta_en,palheta,0.016815,benchmark,100
openclip-vitl14,q_palheta_es,palheta,0.016839,benchmark,100
openclip-vitl14,q_rabeca_chuleira_pt,rabeca-chuleira,0.016703,benchmark,100
openclip-vitl14,q_rabeca_chuleira_en,rabeca-chuleira,0.016651,benchmark,100
openclip-vitl14,q_rabeca_chuleira_es,rabeca-chuleira,0.016769,benchmark,100
openclip-vitl14,q_reque_reque_pt,reque-reque,0.016666,benchmark,100
openclip-vitl14,q_reque_reque_en,reque-reque,0.016795,benchmark,100
openclip-vitl14,q_reque_reque_es,reque-reque,0.016691,benchmark,100
openclip-vitl14,q_sarronca_pt,sarronca,0.016768,benchmark,100
openclip-vitl14,q_sarronca_en,sarronca,0.016733,benchmark,100
openclip-vitl14,q_sarronca_es,sarronca,0.016722,benchmark,100
openclip-vitl14,q_viola_amarantina_pt,viola-amarantina,0.016801,benchmark,100
openclip-vitl14,q_viola_amarantina_en,viola-amarantina,0.017059,benchmark,100
openclip-vitl14,q_viola_amarantina_es,viola-amarantina,0.016829,benchmark,100
openclip-vitl14,q_viola_beiroa_pt,viola-beiroa,0.016684,benchmark,100
openclip-vitl14,q_viola_beiroa_en,viola-beiroa,0.016825,benchmark,100
openclip-vitl14,q_viola_beiroa_es,viola-beiroa,0.016677,benchmark,100
openclip-vitl14,q_viola_braguesa_pt,viola-braguesa,0.016699,benchmark,100
openclip-vitl14,q_viola_braguesa_en,viola-braguesa,0.016724,benchmark,100
openclip-vitl14,q_viola_braguesa_es,viola-braguesa,0.016676,benchmark,100
openclip-vitl14,q_viola_campanica_pt,viola-campanica,0.017894,benchmark,100
openclip-vitl14,q_viola_campanica_en,viola-campanica,0.017905,benchmark,100
openclip-vitl14,q_viola_campanica_es,viola-campanica,0.016967,benchmark,100
openclip-vitl14,q_viola_de_arame_pt,viola-de-arame,0.016743,benchmark,100
openclip-vitl14,q_viola_de_arame_en,viola-de-arame,0.016935,benchmark,100
openclip-vitl14,q_viola_de_arame_es,viola-de-arame,0.016954,benchmark,100
openclip-vitl14,q_viola_toeira_pt,viola-toeira,0.016960,benchmark,100
openclip-vitl14,q_viola_toeira_en,viola-toeira,0.016925,benchmark,100
openclip-vitl14,q_viola_toeira_es,viola-toeira,0.016789,benchmark,100
openclip-vitl14,q_violao_pt,violao,0.016712,benchmark,100
openclip-vitl14,q_violao_en,violao,0.016966,benchmark,100
openclip-vitl14,q_violao_es,violao,0.016790,benchmark,100
jinaclip,q_adufe_pt,adufe,0.843294,benchmark,100
jinaclip,q_adufe_en,adufe,0.095685,benchmark,100
jinaclip,q_adufe_es,adufe,0.093011,benchmark,100
jinaclip,q_bombos_pt,bombos,0.092951,benchmark,100
jinaclip,q_bombos_en,bombos,0.092479,benchmark,100
jinaclip,q_bombos_es,bombos,0.092806,benchmark,100
jinaclip,q_caixa_tamboril_pt,caixa-tamboril,0.095750,benchmark,100
jinaclip,q_caixa_tamboril_en,caixa-tamboril,0.095053,benchmark,100
jinaclip,q_caixa_tamboril_es,caixa-tamboril,0.092010,benchmark,100
jinaclip,q_castanholas_pt,castanholas,0.092364,benchmark,100
jinaclip,q_castanholas_en,castanholas,0.092064,benchmark,100
jinaclip,q_castanholas_es,castanholas,0.092708,benchmark,100
